FIPS,HOM_STUDENTS
13069.0,540.0
13071.0,301.0
13073.0,355.0
13157.0,175.0
13075.0,20.0
13077.0,185.0
13079.0,10.0
13081.0,23.0
13083.0,34.0
13313.0,693.0
13085.0,247.0
13087.0,53.0
13091.0,42.0
13093.0,76.0
13095.0,428.0
13097.0,682.0
13175.0,524.0
13099.0,96.0
13103.0,151.0
13105.0,55.0
13107.0,78.0
13109.0,49.0
13111.0,260.0
13113.0,105.0
13115.0,538.0
13117.0,621.0
13119.0,95.0
13139.0,594.0
13123.0,72.0
13127.0,369.0
13131.0,38.0
13133.0,75.0
13255.0,287.0
13137.0,154.0
13141.0,60.0
13145.0,26.0
13147.0,53.0
13149.0,113.0
13151.0,1095.0
13153.0,482.0
13155.0,43.0
13159.0,31.0
13161.0,11.0
13163.0,13.0
13165.0,10.0
13167.0,44.0
13169.0,14.0
13171.0,52.0
13173.0,76.0
13177.0,545.0
13179.0,225.0
13181.0,123.0
13183.0,28.0
13185.0,608.0
13187.0,42.0
13193.0,4.0
13195.0,200.0
13197.0,8.0
13189.0,48.0
13191.0,76.0
13199.0,15.0
13201.0,44.0
13205.0,59.0
13207.0,735.0
13209.0,54.0
13211.0,63.0
13213.0,166.0
13215.0,1141.0
13217.0,198.0
13219.0,106.0
13221.0,17.0
13223.0,252.0
13225.0,54.0
13227.0,207.0
13229.0,74.0
13231.0,4.0
13233.0,782.0
13235.0,20.0
13237.0,12.0
13239.0,70.0
13241.0,93.0
13245.0,337.0
13247.0,650.0
13249.0,13.0
13251.0,77.0
13253.0,3.0
13297.0,303.0
13257.0,25.0
13261.0,20.0
13267.0,34.0
13269.0,113.0
13271.0,6.0
13273.0,10.0
13275.0,397.0
13277.0,41.0
13279.0,83.0
13281.0,56.0
13283.0,19.0
13287.0,18.0
13289.0,56.0
13291.0,50.0
13293.0,59.0
13295.0,80.0
13299.0,319.0
13303.0,11.0
13305.0,74.0
13307.0,3.0
13311.0,139.0
13319.0,1.0
13321.0,55.0
15003.0,3600.0
15001.0,3600.0
15009.0,3600.0
15007.0,3600.0
16017.0,166.0
16001.0,1597.0
16057.0,78.0
16019.0,344.0
16011.0,205.0
16077.0,53.0
16049.0,11.0
16083.0,468.0
16047.0,124.0
16027.0,1709.0
16013.0,97.0
16005.0,331.0
16015.0,29.0
16007.0,29.0
16021.0,130.0
16073.0,135.0
16023.0,25.0
16087.0,58.0
16085.0,34.0
16031.0,95.0
16033.0,7.0
16055.0,635.0
16009.0,57.0
16069.0,331.0
16063.0,57.0
16041.0,18.0
16045.0,62.0
16043.0,45.0
16075.0,433.0
16039.0,41.0
16061.0,69.0
16051.0,33.0
16053.0,104.0
16079.0,61.0
16037.0,6.0
16065.0,77.0
16003.0,10.0
16067.0,131.0
16071.0,57.0
16035.0,90.0
16059.0,71.0
16029.0,15.0
16081.0,3.0
17023.0,119.0
17039.0,59.0
17147.0,130.0
17193.0,312.0
17105.0,73.0
17015.0,9.0
17145.0,57.0
17097.0,1455.0
17087.0,132.0
