FIPS,crime
6001.0,9734.0
6003.0,13.0
6005.0,110.0
6007.0,1021.0
6009.0,145.0
6011.0,58.0
6013.0,4138.0
6015.0,109.0
6017.0,323.0
6019.0,4737.0
6021.0,91.0
6023.0,626.0
6025.0,589.0
6027.0,94.0
6029.0,5567.0
6031.0,757.0
6033.0,347.0
6035.0,274.0
6037.0,56416.0
6039.0,830.0
6041.0,515.0
6043.0,79.0
6045.0,336.0
6047.0,1520.0
6049.0,43.0
6051.0,67.0
6053.0,1433.0
6055.0,753.0
6057.0,238.0
6059.0,6797.0
6061.0,597.0
6063.0,128.0
6065.0,7511.0
6067.0,6765.0
6069.0,147.0
6071.0,12219.0
6073.0,11409.0
6075.0,6092.0
6077.0,5952.0
6079.0,630.0
6081.0,1837.0
6083.0,1529.0
6085.0,6361.0
6087.0,1106.0
6089.0,623.0
6091.0,1.0
6093.0,181.0
6095.0,2114.0
6097.0,2016.0
6099.0,2908.0
6101.0,318.0
6103.0,256.0
6105.0,61.0
6107.0,1692.0
6109.0,195.0
6111.0,1830.0
6113.0,637.0
6115.0,326.0
,93.0
8001.0,2665.833333333333
8035.0,1412.6666666666667
8005.0,1487.6666666666667
8123.0,986.5
8059.0,1561.8333333333337
8003.0,64.0
8007.0,51.0
8009.0,5.0
8011.0,18.0
8013.0,684.0
8015.0,9.0
8017.0,3.0
8019.0,32.0
8021.0,2.0
8023.0,0.0
8025.0,5.0
8027.0,8.0
8029.0,42.0
8031.0,5506.0
8033.0,1.0
8037.0,74.5
8097.0,14.5
8039.0,9.0
8041.0,3504.0
8119.0,27.0
8043.0,145.0
8045.0,180.0
8047.0,33.0
8049.0,22.0
8051.0,35.0
8053.0,0.0
8055.0,24.0
8057.0,0.0
8061.0,2.0
8063.0,17.0
8065.0,12.0
8067.0,136.0
,67.0
8069.0,854.5
8071.0,53.0
8073.0,2.0
8075.0,140.0
8077.0,426.0
8079.0,0.0
8081.0,29.0
8083.0,60.0
8085.0,60.0
8087.0,75.0
8089.0,59.0
8091.0,3.0
8093.0,41.0
8095.0,3.0
8099.0,2.0
8101.0,1101.0
8103.0,8.0
8105.0,29.0
8107.0,38.0
8109.0,3.0
8111.0,1.0
8113.0,7.0
8115.0,1.0
8117.0,73.0
8121.0,3.0
8125.0,9.0
8014.0,81.0
9009.0,2202.0
9003.0,1936.0
9001.0,1620.0
9007.0,65.0
9013.0,31.0
9011.0,318.0
9005.0,80.0
9015.0,58.0
,273.0
10001.0,758.5
10003.0,2625.0
10005.0,743.5
,0.0
12001.0,1765.0
12003.0,121.0
12005.0,826.0
12007.0,112.0
12009.0,2224.0
12011.0,7259.0
,79.0
12013.0,36.0
12015.0,367.0
12017.0,373.0
12019.0,554.0
12021.0,896.0
12023.0,355.0
12086.0,13333.0
12027.0,159.0
12029.0,89.0
12031.0,6087.0
12033.0,1777.0
12035.0,206.5
12127.0,1913.5
12037.0,59.0
12039.0,169.0
12041.0,40.0
12043.0,24.0
12045.0,36.0
12047.0,55.0
12049.0,72.0
12051.0,152.0
12053.0,518.0
12055.0,280.0
12057.0,3656.0
12059.0,75.0
12061.0,352.0
12063.0,100.0
12065.0,75.0
12067.0,13.0
12069.0,1007.0
12071.0,1979.0
12073.0,1699.0
12075.0,477.0
12077.0,19.0
12079.0,111.0
12081.0,1820.0
12115.0,925.0
12083.0,1556.0
12085.0,349.0
12087.0,282.0
12089.0,199.0
12091.0,739.0
12093.0,192.0
12095.0,7778.0
12097.0,1152.0
12099.0,5643.0
12101.0,1693.0
12103.0,3379.0
12105.0,1990.0
12107.0,188.0
12109.0,392.0
12111.0,812.0
