FIPS,Total_Juvenile_Arrests
24031,1730.5
24033,1120.0
24035,159.0
24037,459.0
24039,341.0
24041,144.0
24043,742.5
24045,699.5
24047,531.5
24510,1262.0
25001,593.0
25003,447.0
25005,1376.0
25007,0.0
25009,2248.0
25011,315.0
25013,1301.0
25015,0.0
25017,1869.0
25019,0.0
25021,748.0
25023,658.0
25025,1821.0
25027,1715.0
26001,26.0
26003,23.0
26005,249.0
26007,94.0
26009,21.0
26011,36.0
26013,5.0
26015,101.0
26017,224.0
26019,40.0
26021,666.0
26023,226.0
26025,541.0
26027,181.0
26029,48.0
26031,80.0
26033,161.0
26035,71.0
26037,112.0
26039,102.0
26041,91.0
26043,25.0
26045,280.0
26047,66.0
26049,806.0
26051,95.0
26053,31.0
26055,195.0
26057,113.0
26059,174.0
26061,33.0
26063,57.0
26065,538.0
26067,160.0
26069,59.0
26071,20.0
26073,183.0
26075,476.0
26077,1355.0
26079,22.0
26081,1959.0
26083,0.0
26085,63.0
26087,116.0
26089,14.0
26091,241.0
26093,198.0
26095,24.0
26097,12.0
26099,1184.0
26101,48.0
26103,145.0
26105,122.0
26107,125.0
26109,47.0
26111,111.0
26113,37.0
26115,369.0
26117,186.0
26119,13.0
26121,604.0
26123,157.0
26125,1218.0
26127,63.0
26129,54.0
26131,2.5
26133,136.0
26135,13.0
26137,76.0
26139,711.0
26141,39.0
26143,51.0
26145,326.0
26147,402.0
26149,139.0
26151,72.0
26153,22.0
26155,182.0
26157,114.0
26159,170.0
26161,438.0
26163,2532.0
26165,89.0
27001,58.0
27003,959.0
27005,227.0
27007,173.0
27009,144.0
27011,19.0
27013,519.0
27015,83.0
27017,94.0
27019,270.0
27021,167.0
27023,53.0
27025,204.0
27027,308.0
27029,73.0
27031,8.5
27033,76.0
27035,370.0
27037,1252.0
27039,64.0
27041,140.0
27043,77.0
27045,50.0
27047,201.0
27049,269.0
27051,17.0
27053,3005.0
27055,52.0
27057,128.0
27059,149.0
27061,283.0
27063,79.0
27065,61.0
27067,169.0
27069,2.5
27071,39.0
27073,10.5
27075,31.0
27077,12.5
27079,91.0
27081,5.0
27083,74.0
27085,167.0
27087,68.0
27089,9.5
27091,88.0
27093,43.0
27095,208.0
27097,125.0
27099,256.0
27101,21.0
27103,175.0
27105,81.0
27107,10.5
27109,385.0
27111,205.0
27113,63.0
27115,119.0
27117,20.0
27119,150.0
27121,46.0
27123,1250.0
27125,2.5
27127,98.0
27129,57.0
27131,153.0
27133,26.0
27135,48.0
27137,871.0
27139,361.0
27141,405.0
27143,95.0
27145,777.0
27147,113.0
27149,14.0
27151,56.0
27153,86.0
27155,20.0
27157,74.0
27159,81.0
27161,82.0
27163,625.0
27165,53.0
27167,32.0
27169,144.0
27171,441.0
27173,37.0
28001,170.5
28003,82.5
28005,25.0
28007,50.0
28009,23.5
28011,190.0
28013,14.5
28015,18.0
28017,48.5
28019,2.5
28021,17.5
28023,31.5
28025,66.0
28027,148.5
28029,126.0
28031,82.5
28033,1144.0
28035,344.5
28037,27.0
28039,39.5
28041,7.5
28043,115.0
28045,209.0
28047,908.0
28049,531.0
28051,88.0
28053,36.0
28055,0.0
28057,58.5
28059,461.0
28061,45.5
28063,37.5
28065,14.0
28067,374.0
28069,0.0
28071,120.0
28073,223.0
28075,437.0
28077,54.5
28079,11.0
28081,548.0
28083,145.0
28085,92.0
28087,201.5
28089,258.0
28091,115.0
28093,111.0
28095,73.5
28097,34.5
28099,125.5
28101,59.5
28103,0.0
28105,67.5
28107,127.5
28109,149.0
28111,30.0
28113,319.0
28115,103.5
28117,65.5
28119,19.5
28121,935.0
28123,153.5
28125,0.0
28127,114.0
28129,68.5
28131,25.0
28133,129.0
28135,25.5
28137,139.0
28139,65.0
28141,53.5
28143,131.0
28145,50.5
28147,101.5
28149,231.0
28151,450.0
28153,53.0
28155,10.5
28157,46.0
28159,26.0
28161,13.5
28163,149.0
29001,114.5
29003,43.0
29005,48.0
29007,199.0
29009,217.5
29011,202.0
29013,85.0
29015,126.5
29017,29.5
29019,1026.0
29021,951.0
29023,323.0
29025,42.0
29027,405.0
29029,185.0
29031,478.5
29033,56.0
29035,45.0
29037,670.0
29039,54.0
29041,71.0
29043,831.0
29045,82.0
29047,426.0
